CountryName,CountryCode,BirthRate,InternetUsers,IncomeGroup,
Moldova,MDA,12.141,45,Lower middle income,546.345
Madagascar,MDG,34.686,3,Low income,104.058
Maldives,MDV,21.447,44.1,Upper middle income,945.8127
Mexico,MEX,19.104,43.46,Upper middle income,830.25984
"Macedonia, FYR",MKD,11.222,65.24,Upper middle income,732.12328
Mali,MLI,44.138,3.5,Low income,154.483
Malta,MLT,9.5,68.9138,High income,654.6811
Myanmar,MMR,18.119,1.6,Lower middle income,28.9904
Montenegro,MNE,11.616,60.31,Upper middle income,700.56096
Mongolia,MNG,24.275,20,Upper middle income,485.5
Mozambique,MOZ,39.705,5.4,Low income,214.407
Mauritania,MRT,33.801,6.2,Lower middle income,209.5662
Mauritius,MUS,10.9,39,Upper middle income,425.1
Malawi,MWI,39.459,5.05,Low income,199.26795
Malaysia,MYS,16.805,66.97,Upper middle income,1125.43085
Namibia,NAM,29.937,13.9,Upper middle income,416.1243
New Caledonia,NCL,17,66,High income,1122
Niger,NER,49.661,1.7,Low income,84.4237
Nigeria,NGA,40.045,38,Lower middle income,1521.71
Nicaragua,NIC,20.788,15.5,Lower middle income,322.214
Netherlands,NLD,10.2,93.9564,High income,958.35528
Norway,NOR,11.6,95.0534,High income,1102.61944
Nepal,NPL,20.923,13.3,Low income,278.2759
New Zealand,NZL,13.12,82.78,High income,1086.0736
Oman,OMN,20.419,66.45,High income,1356.84255
Pakistan,PAK,29.582,10.9,Lower middle income,322.4438
Panama,PAN,19.68,44.03,Upper middle income,866.5104
Peru,PER,20.198,39.2,Upper middle income,791.7616
Philippines,PHL,23.79,37,Lower middle income,880.23
Papua New Guinea,PNG,28.899,6.5,Lower middle income,187.8435
Poland,POL,9.6,62.8492,High income,603.35232
Puerto Rico,PRI,10.8,73.9,High income,798.12
Portugal,PRT,7.9,62.0956,High income,490.55524
Paraguay,PRY,21.588,36.9,Upper middle income,796.5972
French Polynesia,PYF,16.393,56.8,High income,931.1224
Qatar,QAT,11.94,85.3,High income,1018.482
Romania,ROU,8.8,49.7645,Upper middle income,437.9276
Russian Federation,RUS,13.2,67.97,High income,897.204
Rwanda,RWA,32.689,9,Low income,294.201
Saudi Arabia,SAU,20.576,60.5,High income,1244.848
Sudan,SDN,33.477,22.7,Lower middle income,759.9279
Senegal,SEN,38.533,13.1,Lower middle income,504.7823
Singapore,SGP,9.3,81,High income,753.3
Solomon Islands,SLB,30.578,8,Lower middle income,244.624
Sierra Leone,SLE,36.729,1.7,Low income,62.4393
El Salvador,SLV,17.476,23.1093,Lower middle income,403.8581268
Somalia,SOM,43.891,1.5,Low income,65.8365
Serbia,SRB,9.2,51.5,Upper middle income,473.8
South Sudan,SSD,37.126,14.1,Low income,523.4766
Sao Tome and Principe,STP,34.537,23,Lower middle income,794.351
Suriname,SUR,18.455,37.4,Upper middle income,690.217
Slovak Republic,SVK,10.1,77.8826,High income,786.61426
Slovenia,SVN,10.2,72.6756,High income,741.29112
Sweden,SWE,11.8,94.7836,High income,1118.44648
Swaziland,SWZ,30.093,24.7,Lower middle income,743.2971
Seychelles,SYC,18.6,50.4,High income,937.44
Syrian Arab Republic,SYR,24.043,26.2,Lower middle income,629.9266
Chad,TCD,45.745,2.3,Low income,105.2135
Togo,TGO,36.08,4.5,Low income,162.36
Thailand,THA,11.041,28.94,Upper middle income,319.52654
Tajikistan,TJK,30.792,16,Lower middle income,492.672
Turkmenistan,TKM,21.322,9.6,Upper middle income,204.6912
Timor-Leste,TLS,35.755,1.1,Lower middle income,39.3305
Tonga,TON,25.409,35,Upper middle income,889.315
Trinidad and Tobago,TTO,14.59,63.8,High income,930.842
Tunisia,TUN,19.8,43.8,Upper middle income,867.24
Turkey,TUR,16.836,46.25,Upper middle income,778.665
Tanzania,TZA,39.518,4.4,Low income,173.8792
Uganda,UGA,43.474,16.2,Low income,704.2788
Ukraine,UKR,11.1,41,Lower middle income,455.1
Uruguay,URY,14.374,57.69,High income,829.23606
United States,USA,12.5,84.2,High income,1052.5
Uzbekistan,UZB,22.5,38.2,Lower middle income,859.5
St. Vincent and the Grenadines,VCT,16.306,52,Upper middle income,847.912
"Venezuela, RB",VEN,19.842,54.9,High income,1089.3258
Virgin Islands (U.S.),VIR,10.7,45.3,High income,484.71
Vietnam,VNM,15.537,43.9,Lower middle income,682.0743
Vanuatu,VUT,26.739,11.3,Lower middle income,302.1507
West Bank and Gaza,PSE,30.394,46.6,Lower middle income,1416.3604
Samoa,WSM,26.172,15.3,Lower middle income,400.4316
"Yemen, Rep.",YEM,32.947,20,Lower middle income,658.94
South Africa,ZAF,20.85,46.5,Upper middle income,969.525
"Congo, Dem. Rep.",COD,42.394,2.2,Low income,93.2668
Zambia,ZMB,40.471,15.4,Lower middle income,623.2534
Zimbabwe,ZWE,35.715,18.5,Low income,660.7275
